vin,start_date,part_number,vendor_name,quantity,price
00AIVKIDO01487633,1/17/2021,TP-BAED0025,Plexzap,4,155.32
00AIVKIDO01487633,1/17/2021,ZN-EAES0114,Nam-zim,1,44.81
00AIVKIDO01487633,5/26/2021,BH-EAEM0145,Zathunicon,3,7.9
00AIVKIDO01487633,5/26/2021,BH-PACBS0184,Finhigh,1,30.54
00AIVKIDO01487633,5/26/2021,BM-EAEM0139,Funholding,4,140.2
00AIVKIDO01487633,5/26/2021,ZN-BAE0019,Blackzim,2,109.27
00AIVKIDO01487633,5/26/2021,ZN-EAEM0150,Toughzap,4,93.29
00AIVKIDO01487633,7/25/2021,PP-PACBS0163,Finhigh,1,10.51
00AIVKIDO01487633,7/25/2021,PP-PACBS0178,Nam-zim,2,35.17
00AIVKIDO01487633,8/17/2021,BH-EAES0123,Finhigh,2,30.07
01WR7E2ZMCD216522,7/3/2021,ZN-EAEM0139,Funholding,1,73.66
01WR7E2ZMCD216522,7/24/2021,BM-BAE0009,Betatech,1,65.02
01WR7E2ZMCD216522,8/13/2021,BH-EAEIS0080,Nam-zim,3,54.88
01WR7E2ZMCD216522,8/13/2021,BH-EAES0102,Toughzap,3,2.99
01WR7E2ZMCD216522,8/13/2021,BM-BAEW0036,Zathunicon,2,70.11
01WR7E2ZMCD216522,8/13/2021,BM-EAEGAM0063,Blackzim,1,73.75
01WR7E2ZMCD216522,8/13/2021,FG-BAE0016,Betatech,1,64.8
01WR7E2ZMCD216522,8/13/2021,FG-BAEW0034,Finhigh,4,26.84
01WR7E2ZMCD216522,8/24/2021,FH-EAEESS0054,Blackzim,3,43.13
01WR7E2ZMCD216522,8/24/2021,FH-EAEESS0060,Plexzap,3,10.55
01WR7E2ZMCD216522,8/24/2021,FH-EAES0124,Finhigh,1,55.1
01WR7E2ZMCD216522,8/24/2021,NM-EAELASS0084,Plexzap,4,55.94
01WR7E2ZMCD216522,8/24/2021,NM-PACBS0165,Betatech,2,51.09
01WR7E2ZMCD216522,8/24/2021,ZN-BAEW0036,Plexzap,4,27.02
01WR7E2ZMCD216522,8/24/2021,ZN-PACBS0178,Funholding,3,72.62
01WR7E2ZMCD216522,8/28/2021,FG-EAELASS0084,Nam-zim,1,76.07
01WR7E2ZMCD216522,8/28/2021,FG-PACBS0169,Toughzap,1,71.04
01WR7E2ZMCD216522,8/28/2021,PP-10141,Blackzim,2,5.25
01WR7E2ZMCD216522,8/28/2021,PP-PACBS0189,Funholding,4,51.6
01WR7E2ZMCD216522,8/28/2021,TP-EAEGAM0064,Zathunicon,2,61.21
01WR7E2ZMCD216522,9/13/2021,BH-EAEGAM0067,Funholding,1,44.42
01WR7E2ZMCD216522,9/13/2021,BH-PACBS0164,Toughzap,4,54.77
01WR7E2ZMCD216522,9/13/2021,FH-BAE0010,Blackzim,3,19.09
01WR7E2ZMCD216522,9/13/2021,FH-PACBS0185,Zathunicon,1,1.34
01WR7E2ZMCD216522,9/13/2021,NM-EAELASS0089,Zathunicon,3,65.55
01WR7E2ZMCD216522,9/13/2021,NM-EAEWH0129,Blackzim,2,37.97
01WR7E2ZMCD216522,9/13/2021,PP-EAEIS0079,Funholding,1,69.52
01WR7E2ZMCD216522,9/13/2021,PP-PACBS0167,Nam-zim,3,75.37
01WR7E2ZMCD216522,9/13/2021,ZN-EAEM0143,Funholding,4,56.79
06XZOKN8UAY309163,3/10/2020,ZN-EAEIS0082,Zathunicon,3,19.89
06XZOKN8UAY309163,3/10/2020,ZN-EAES0106,Zathunicon,2,4.43
06XZOKN8UAY309163,6/12/2020,TP-EAELASS0090,Nam-zim,3,30.48
06XZOKN8UAY309163,8/11/2020,FH-BAE0018,Blackzim,4,33.52
06XZOKN8UAY309163,8/11/2020,NM-EAELASS0087,Finhigh,2,27.95
06XZOKN8UAY309163,8/11/2020,ZN-EAEAD0041,Betatech,4,12.58
06XZOKN8UAY309163,8/11/2020,ZN-EAEAD0046,Funholding,2,0.12
06XZOKN8UAY309163,8/11/2020,ZN-EAEIS0081,Nam-zim,4,1.42
06XZOKN8UAY309163,8/11/2020,ZN-PACBS0195,Betatech,4,19.6
06XZOKN8UAY309163,2/28/2021,FG-PACBS0193,Funholding,4,25.63
06XZOKN8UAY309163,3/29/2021,NM-PACBS0189,Funholding,1,9.74
06XZOKN8UAY309163,3/29/2021,ZN-BAE0006,Zathunicon,1,31.85
06XZOKN8UAY309163,4/21/2021,NM-BAE0007,Zathunicon,2,6.12
06XZOKN8UAY309163,4/21/2021,NM-EAEESS0058,Funholding,3,9.13
06XZOKN8UAY309163,4/21/2021,PP-PACBS0196,Plexzap,1,22.09
06XZOKN8UAY309163,7/17/2021,ZN-EAEM0138,Nam-zim,3,13.16
06XZOKN8UAY309163,7/17/2021,ZN-ICS0161,Toughzap,1,6.7
073HOEWCHAF741925,4/8/2021,FG-BAEW0034,Blackzim,4,65.71
073HOEWCHAF741925,4/8/2021,FH-EAECS0051,Betatech,4,117.93
073HOEWCHAF741925,4/8/2021,FH-EAEM0142,Plexzap,4,54.99
073HOEWCHAF741925,4/8/2021,TP-EAES0113,Nam-zim,1,88.14
073HOEWCHAF741925,4/24/2021,BM-EAEM0145,Nam-zim,2,129.62
073HOEWCHAF741925,4/24/2021,FH-EAEM0150,Nam-zim,3,31.17
073HOEWCHAF741925,4/24/2021,FH-PACBS0190,Nam-zim,3,32.18
073HOEWCHAF741925,6/19/2021,FH-BAE0016,Toughzap,1,67.44
073HOEWCHAF741925,6/19/2021,FH-ICS0158,Blackzim,4,36.51
073HOEWCHAF741925,6/19/2021,NM-EAEGAM0068,Blackzim,4,81.36
073HOEWCHAF741925,6/19/2021,NM-PACBS0191,Toughzap,1,78.18
073HOEWCHAF741925,6/19/2021,TP-EAEESS0055,Plexzap,2,112.82
073HOEWCHAF741925,6/19/2021,ZN-BAED0032,Finhigh,2,32.98
073HOEWCHAF741925,6/19/2021,ZN-BAEW0034,Zathunicon,4,65.75
073HOEWCHAF741925,7/19/2021,NM-BAE0010,Finhigh,2,63.36
073HOEWCHAF741925,7/19/2021,NM-PACBS0166,Zathunicon,4,41.74
073HOEWCHAF741925,7/19/2021,ZN-EAES0112,Plexzap,3,82.02
07TSE0YYIZF380247,11/4/2020,BM-BAE0011,Funholding,1,44.89
07TSE0YYIZF380247,11/15/2020,PP-EAEGAM0069,Blackzim,1,27.46
07TSE0YYIZF380247,11/15/2020,PP-EAEGAM0074,Betatech,4,6.08
07TSE0YYIZF380247,11/15/2020,TP-BAE0008,Plexzap,3,50.21
07TSE0YYIZF380247,11/15/2020,TP-EAEIS0078,Zathunicon,4,55.75
07TSE0YYIZF380247,12/24/2020,BH-EAEM0147,Blackzim,1,57.5
07TSE0YYIZF380247,12/24/2020,BH-EAEM0149,Finhigh,1,17.72
07TSE0YYIZF380247,12/24/2020,NM-EAES0110,Blackzim,2,46.03
07TSE0YYIZF380247,12/24/2020,NM-PACBS0179,Blackzim,3,1.56
07TSE0YYIZF380247,6/8/2021,FG-EAECS0050,Blackzim,3,0.75
07TSE0YYIZF380247,6/8/2021,NM-BAED0025,Toughzap,3,31.55
07TSE0YYIZF380247,6/8/2021,NM-PACBS0176,Blackzim,2,42.11
07TSE0YYIZF380247,7/30/2021,BH-EAELASS0086,Funholding,1,44.51
07TSE0YYIZF380247,7/30/2021,BH-EAEM0144,Finhigh,2,12.68
07TSE0YYIZF380247,7/30/2021,BH-EAEWH0129,Zathunicon,1,28.48
07TSE0YYIZF380247,7/30/2021,BH-PACBS0167,Zathunicon,2,55.24
07TSE0YYIZF380247,7/30/2021,BM-EAELASS0086,Zathunicon,1,17.92
07TSE0YYIZF380247,7/30/2021,ZN-EAEM0133,Blackzim,4,21.92
07TSE0YYIZF380247,7/30/2021,ZN-EAES0101,Blackzim,2,47.23
07TSE0YYIZF380247,8/22/2021,BM-BAE0004,Betatech,1,46.41
07TSE0YYIZF380247,8/22/2021,BM-EAEM0143,Zathunicon,2,39.49
07TSE0YYIZF380247,8/22/2021,FH-BAED0024,Toughzap,2,20.02
07TSE0YYIZF380247,8/22/2021,FH-BAED0028,Toughzap,3,65.96
07TSE0YYIZF380247,8/22/2021,PP-EAEM0132,Toughzap,4,4.44
07TSE0YYIZF380247,8/22/2021,PP-ICS0158,Betatech,3,8.07
0BT52YYB1L8670257,12/2/2020,BH-EAEAD0047,Plexzap,3,367.52
0BT52YYB1L8670257,12/2/2020,FH-BAED0030,Funholding,2,125.59
0BT52YYB1L8670257,12/2/2020,FH-BAED0032,Toughzap,4,60.54
0BT52YYB1L8670257,12/2/2020,ZN-BAE0020,Funholding,3,21.38
0BT52YYB1L8670257,12/2/2020,ZN-BAED0029,Nam-zim,1,344.16
0BT52YYB1L8670257,3/18/2021,BM-EAES0093,Blackzim,4,387.67
0BT52YYB1L8670257,3/18/2021,BM-EAES0113,Finhigh,1,90.98
